count
11
14
20
51
9
37
23
20
19
5
37
7
30
14
37
11
7
3
72
29
23
9
4
4
10
13
8
3
26
11
28
3
12
23
2
49
24
8
7
10
2
5
5
19
14
9
51
5
11
9
23
16
29
20
17
7
23
12
30
102
47
4
6
7
17
14
17
14
4
5
29
3
9
5
1
21
9
2
1
6
65
16
17
9
27
5
22
29
27
39
17
36
26
23
17
17
26
14
26
15
15
12
4
17
0
21
0
16
2
21
28
0
53
19
9
20
0
18
9
32
18
31
12
6
16
30
15
13
29
34
0
8
10
36
21
33
11
0
0
0
3
5
12
24
0
7
3
3
1
2
5
13
9
3
2
2
1
7
1
0
1
13
1
5
10
37
12
2
4
18
2
5
1
0
4
3
3
7
9
32
4
8
4
3
3
12
23
18
8
4
6
9
21
45
1
10
8
7
37
22
0
9
3
0
6
2
9
1
2
5
2
