term,frequency
say,9.01499689435
go,8.73324564653
come,8.4265490724
will,8.33236920593
thou,8.31388683163
king,8.08924315503
take,8.03790596345
see,7.94505106373
can,7.91174730025
little,7.90274273716
give,7.74405918631
man,7.63463335786
get,7.57228254269
away,7.55108033504
thee,7.47697236289
