,term,frequency
414,jemand,47
415,versprechen,47
416,ecke,47
417,abschied,47
418,knecht,47
419,stunde,46
420,sehe,46
421,männlein,46
422,zweiäuglein,46
423,rat,45
424,gutes,45
425,leicht,45
426,blicken,45
427,siehst,45
428,schatz,45
429,gemahlin,45
430,küche,45
431,wege,45
432,kochen,45
433,scheinen,44
434,hunger,44
435,daheim,44
436,unglück,44
437,schlaf,44
438,zogen,44
439,letzt,44
440,ergehen,44
441,magd,44
442,stall,44
443,erhalten,43
444,übrig,43
445,anfangen,43
446,geschah,43
447,ließen,43
448,ruhig,43
449,wiese,43
450,eltern,43
451,hände,43
452,räuber,43
453,ranzen,43
454,freundlich,42
455,namen,42
456,schlecht,42
457,antwort,42
458,alsbald,42
459,klug,42
460,taler,42
461,hell,42
462,silber,42
463,schwestern,42
464,dummling,42
465,vorbei,41
466,hernach,41
467,eher,41
468,speise,41
469,sagte,41
470,laßt,41
471,neu,41
472,spielmann,41
473,dorf,41
474,gewiß,40
475,danach,40
476,darüber,40
477,bekam,40
478,arbeiten,40
479,schiff,40
480,kaufmann,40
481,stunden,40
482,gesund,40
483,fleisch,40
484,greifen,40
485,seite,40
486,erkannte,40
487,packte,39
488,wand,39
489,platz,39
490,schlüssel,39
491,leid,39
492,frei,39
493,axt,39
494,keller,39
495,schnitt,39
496,weile,39
497,zorn,39
498,gedanke,39
499,liefen,39
500,hänsel,39
501,stroh,39
502,nimm,38
503,ichs,38
504,jahren,38
505,dahin,38
506,schw,38
507,messer,38
508,johannes,38
509,meer,38
510,damien,38
511,schaute,38
512,faß,38
513,kriegen,38
514,dieb,38
515,dazuen,38
516,solch,38
517,brief,38
518,bürle,38
519,haut,37
520,faßte,37
521,kaufen,37
522,fressen,37
523,behalten,37
524,kehrte,37
525,ehe,37
526,äpfel,37
527,kaum,37
528,zwerg,37
529,entgegen,37
530,mühle,37
531,treue,36
532,daueren,36
533,wahr,36
534,mund,36
535,stieß,36
536,gefiel,36
537,lebendig,36
538,gewalt,36
539,größ,36
540,ofen,36
541,hoh,36
542,oh,36
543,gnade,36
544,halt,36
545,solle,36
546,a,36
547,braten,36
548,schickte,36
549,hahn,36
550,zuletzt,36
551,sperling,36
552,folgen,35
553,vergessen,35
554,worden,35
555,drehen,35
556,gevatter,35
557,mantel,35
558,abermals,35
559,stark,35
560,füßen,35
561,schwesterchen,35
562,davonen,35
563,mond,35
